artist_name,track_name,track_id,track_popularity,artist_id,artist_popularity,artist_genres,artist_followers,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Jimin,Who,7tI8dRuH2Yc6RuoTjxo4dU,92,1oSPZhvZMIrWW5I41kPkkY,88,['k-pop'],9730251,0.66,0.756,-3.743,0.032,0.00289,0.0,0.193,0.838,116.034,170888,4
ROSÉ,APT.,2vDkR3ctidSd17d2CygVzS,65,3eVa5w3URK5duf6eyVDbu9,85,['k-pop'],8127798,0.778,0.786,-4.473,0.259,0.0286,0.0,0.347,0.942,149.03,169917,4
aespa,Whiplash,6uPnrBgweGOcwjFL4ItAvV,80,6YVMFz59CuY7ngCxTxjpxE,83,['k-pop girl group'],7122044,0.856,0.901,-2.954,0.0455,0.0943,0.0206,0.0802,0.743,126.007,183227,4
Lim Young Woong,Warmth,3vnaEaDxMKdBhqA1t0uAwl,62,75MOYjGEyyH5U4ZFHOPvxR,63,['trot'],100559,0.354,0.232,-7.656,0.0329,0.79,0.0,0.127,0.342,171.198,235053,4
Lim Young Woong,Home,2PlsVMcOn6ujc2UEYs2Yat,62,75MOYjGEyyH5U4ZFHOPvxR,63,['trot'],100559,0.586,0.816,-4.513,0.0456,0.00921,1.08e-06,0.081,0.407,128.021,235333,4
Jimin,Who,32lSgbCqRcIOyUSnfuUZEQ,88,1oSPZhvZMIrWW5I41kPkkY,88,['k-pop'],9730251,0.66,0.757,-3.743,0.0321,0.00289,0.0,0.193,0.838,116.034,170888,4
Jimin,Who,5wPnPIZS8wr4lPNLz4qvHK,87,1oSPZhvZMIrWW5I41kPkkY,88,['k-pop'],9730251,0.66,0.757,-3.743,0.0321,0.00289,0.0,0.193,0.838,116.034,170888,4
Jimin,Who,1yqdD2ScjkqvaNBUzPQ4vR,87,1oSPZhvZMIrWW5I41kPkkY,88,['k-pop'],9730251,0.66,0.757,-3.743,0.0321,0.00289,0.0,0.193,0.838,116.034,170888,4
Jin,I'll Be There,2Qcbspnftnon37jibwyvMU,88,5vV3bFXnN6D6N3Nj4xRvaV,85,['k-pop'],8584335,0.538,0.738,-2.412,0.0445,0.0351,0.0,0.0898,0.736,148.887,181678,4
V,FRI(END)S,0PBTlQ84CBJF0tBnKGmQa6,86,3JsHnjpbhX4SnySpvpa9DK,83,"['j-division', 'korean ost']",19102865,0.466,0.601,-4.468,0.053,0.0315,0.0,0.0927,0.627,53.376,148082,4
aespa,UP - KARINA Solo,5sjnkOfTLCLNfkkchI2re2,81,6YVMFz59CuY7ngCxTxjpxE,83,['k-pop girl group'],7122044,0.777,0.781,-4.479,0.043,0.0137,2.77e-06,0.0466,0.382,98.97,166640,4
DAY6,HAPPY,5R5NMy7zc7QPCfdvy8dvCQ,59,5TnQc2N1iKlFjYD7CPGvFc,71,"['k-pop', 'k-pop boy group']",3452217,0.535,0.963,-3.363,0.0798,0.000873,0.0,0.137,0.614,80.002,189934,4
PLAVE,WAY 4 LUV,1T6xi2QrnmwaebXGvWAjLg,61,0k2zyzGq6HX383VlMBOvRG,62,['5th gen k-pop'],199300,0.668,0.851,-5.022,0.0452,0.0142,0.0,0.114,0.503,127.035,219453,4
G-DRAGON,POWER,1HEPfv1KllCYnVC1VmcpgD,58,30b9WulBM8sFuBo17nNq9c,69,"['k-pop', 'k-rap']",2953032,0.607,0.857,-3.287,0.301,0.164,0.0,0.211,0.732,179.749,143242,4
