danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0.16,0.296,-11.86,0.0348,0.111,0.847,0.101,0.0388,62.33,7h4FywzqhgZrrvpiLDJ2vw,293347,4
0.63,0.625,-5.088,0.0252,0.231,0.0,0.0765,0.683,167.998,3BsaRV5QIulYz2lV9WWa8T,234960,4
0.627,0.451,-9.462,0.0275,0.174,0.0,0.0634,0.291,129.872,72MSivvHmzBcpSvcHRyf9b,246493,4
0.728,0.94,-5.034,0.0368,0.0814,0.000162,0.109,0.967,113.76,1sxUaLi0G2vB7dl4ogtCxH,237240,4
0.638,0.937,-4.642,0.0444,0.0942,0.0,0.327,0.762,100.03,1yKDl9K9lrbIFSpPBzEQtb,192333,4
0.677,0.665,-5.171,0.0305,0.56,1.01e-06,0.338,0.706,74.981,70XtWbcVZcpaOddJftMcVi,312533,4
0.609,0.563,-6.284,0.0328,0.0109,7.76e-06,0.156,0.306,148.949,3wACjmQo7ZkRNMLfZXndFB,259533,4
0.797,0.48,-5.564,0.0276,0.247,0.0,0.237,0.641,108.237,5S0cvScXb33JVpjTiY9Ivi,255600,4
0.949,0.661,-4.244,0.0572,0.0302,0.0,0.0454,0.76,104.504,3yfqSUWxFvZELEM4PmlwIR,284200,4
0.839,0.641,-5.669,0.0858,0.0324,4.56e-06,0.0602,0.927,97.004,2WfhlEjoUII31H6imnQdvF,242560,4
0.746,0.443,-7.693,0.0771,0.283,0.0,0.14,0.27,119.31,3w8Mw9GHYepoTWOSdiyosj,274227,4
0.478,0.736,-7.124,0.0367,0.02,9.58e-05,0.118,0.564,144.705,046MBhhgQJJghnbgZCkaAR,229827,4
0.55,0.587,-6.279,0.0329,0.354,0.0,0.128,0.466,165.975,46n2EGFnPC3tzWCN1Aqe26,284760,4
0.779,0.788,-4.63,0.0362,0.278,2.5e-06,0.0708,0.791,119.999,0h9mUYPhZd2aQK2JmrHPD2,206933,4
0.694,0.947,-3.91,0.0546,0.00621,0.0395,0.133,0.518,105.019,3t7sGit21WDOjYkqh3Y9yB,208733,4
0.785,0.539,-8.23,0.0505,0.0134,8.61e-06,0.0528,0.721,137.999,1eFwJoCJj6FoeUhx07CDys,264467,4
0.733,0.794,-6.909,0.223,0.259,0.0,0.483,0.832,95.877,1tJkic0TURTCXw3rBhYgWu,175560,4
0.612,0.579,-6.417,0.0486,0.286,0.0,0.0556,0.73,86.286,0CmXXEwul09Kf8X68lPA5l,284667,4
0.676,0.601,-4.905,0.0297,0.103,0.0,0.147,0.206,119.94,08GOEVXupC6ECbulhPGQKm,285387,4
0.775,0.729,-4.229,0.162,0.0303,0.00247,0.0361,0.895,104.719,7fFCnttacpotkyhTOxKv14,211493,4
0.754,0.811,-3.679,0.0561,0.0185,5.18e-06,0.654,0.639,109.902,0PSZ9G584Ve27GK6ThlY6P,267960,4
0.738,0.914,-4.203,0.0434,0.144,0.00099,0.182,0.935,127.885,43zr9kKkeiQrshvYuvNtfM,272360,4
0.789,0.654,-5.284,0.118,0.035,1.65e-05,0.0658,0.83,104.993,7dO7S7cAUqTUiVRqQ2v9zh,270884,4
0.775,0.686,-5.472,0.184,0.0161,1.43e-06,0.3,0.729,125.241,3uZAWnZVt2xL4X7RfNrCDk,309293,4
0.667,0.773,-4.983,0.0586,0.201,0.0,0.404,0.667,89.976,4zYTZvtcww7OWKie7fxA9E,250707,4
0.802,0.341,-8.56,0.488,0.169,0.0,0.0783,0.849,166.01,0rRboI6IRuGx56Dq3UdYY4,197760,4
0.751,0.831,-5.743,0.178,0.265,7.97e-05,0.201,0.707,90.834,3ltqIDgVV4QSNDQPQ4y5kr,265227,4
