track_name,translated_comment,sentiment,sentiment_label
APT.,442.5m,0.0,neutral
APT.,Only problem i have with this song is th,-0.4019,negative
APT.,OMG ROSE YU ARE THE BEST,0.6369,positive
APT.,Form of ngaseou,0.0,neutral
APT.,This is not my rose,0.0,neutral
APT.,joyjoyjoy,0.0,neutral
APT.,"First... What song? 
Now addicted why...",0.0,neutral
APT.,red heart rose,0.6369,positive
APT.,APT.,0.0,neutral
APT.,1:03 I thought they were twerking and go,0.0,neutral
APT.,"Apt apt apt apt apt flipped tomorrow, bu",0.0,neutral
APT.,POV: children when they finally convince,0.25,positive
APT.,When You Love Me for Something Wow Rose and Bruno Mars,0.8402,positive
APT.,Road to 450M views... Let's go number on,0.0772,positive
APT.,Hello!!! Who's excited on Dec. 6???? Me!,0.6734,positive
APT.,This song is too addictive sligh,0.0,neutral
APT.,go to 450M,0.0,neutral
APT.,go to 500M before ends this year,0.0,neutral
APT.,str3am Rosé OTG too,0.0,neutral
APT.,How do people just listen to this,0.0,neutral
APT.,All you gotta do is just MEET ME AT THE-,0.0,neutral
APT.,Can we pull 1 BILLION STREAM BEFORE 2025,0.0,neutral
APT.,Don't you want me like i want baby,0.3773,positive
APT.,This song is the most random thing ever,0.0,neutral
APT.,10m like,0.3612,positive
APT.,The best of blackpink,0.6369,positive
APT.,Jzoczg0,0.0,neutral
APT.,tjx hdd bd,0.0,neutral
APT.,Naahh this one beats all the songs,0.0,neutral
APT.,Bruno getting excited after this was so,0.34,positive
APT.,dancerman dancingdancerman dancingdancer,0.0,neutral
APT.,red heartred heartred heartred heartred,0.0,neutral
APT.,speaking head selectorspeaking head sele,0.0,neutral
APT.,Why thiss song is too short crysob,0.0,neutral
APT.,Apt apt apt apt apt apt apt apt apt apt,0.0,neutral
APT.,Give me a like if you like de music,0.6124,positive
APT.,joyblushok,0.0,neutral
APT.,Apt apt apt apt apt apt apt apt apt apt,0.0,neutral
APT.,Even gamers like me fall in love in this,0.7717,positive
APT.,musical notemusical scoremusical notenot,0.0,neutral
APT.,Apt apt apt apt apt apt apt apt apt apt,0.0,neutral
APT.,Omg APT APT tada,0.0,neutral
APT.,Apt apt apt apt apt apt apt apt apt apt,0.0,neutral
APT.,What year was this song made inv,0.0,neutral
