track_name,artist_name,track_id,popularity,genres,danceability,energy,valence,tempo,acousticness,instrumentalness,liveness,loudness,speechiness,key,mode,time_signature
APT.,ROSÉ,2vDkR3ctidSd17d2CygVzS,65,k-pop,0.778,0.786,0.942,149.03,0.0286,0.0,0.347,-4.473,0.259,0,0,4
Die With A Smile,Lady Gaga,2plbrEY59IikOBgBGLjaoe,100,"art pop, dance pop, pop",0.521,0.592,0.535,157.969,0.308,0.0,0.122,-7.777,0.0304,6,0,3
squabble up,Kendrick Lamar,0nj9Bq5sHDiTxSHunhgkFb,75,"conscious hip hop, hip hop, rap, west coast rap",0.874,0.672,0.711,103.921,0.0206,0.0,0.0783,-5.568,0.198,0,1,4
luther (with sza),Kendrick Lamar,2CGNAOSuO1MEFCbBRgUzjd,32,"conscious hip hop, hip hop, rap, west coast rap",0.707,0.575,0.576,138.008,0.251,0.0,0.248,-7.546,0.125,2,1,4
wacced out murals,Kendrick Lamar,5gOfC9UzZQzTyShqPMrpjT,75,"conscious hip hop, hip hop, rap, west coast rap",0.761,0.501,0.502,81.998,0.249,0.0,0.136,-10.759,0.459,9,0,4
tv off (feat. lefty gunplay),Kendrick Lamar,0aB0v4027ukVziUGwVGYpG,72,"conscious hip hop, hip hop, rap, west coast rap",0.855,0.529,0.548,100.036,0.0837,0.0,0.423,-6.679,0.263,6,0,4
BIRDS OF A FEATHER,Billie Eilish,6dOtVTDdiauQNBQEDOtlAB,97,"art pop, pop",0.747,0.507,0.438,104.978,0.2,0.0608,0.117,-10.171,0.0358,2,1,4
hey now (feat. dody6),Kendrick Lamar,5S8VwnB4sLi6W0lYTWYylu,72,"conscious hip hop, hip hop, rap, west coast rap",0.806,0.358,0.188,102.011,0.00443,0.00162,0.412,-8.769,0.117,10,1,4
man at the garden,Kendrick Lamar,5ho7VSXSmI2KM2nDjcnLyz,72,"conscious hip hop, hip hop, rap, west coast rap",0.817,0.348,0.634,91.997,0.51,0.000119,0.11,-10.213,0.29,7,0,4
reincarnated,Kendrick Lamar,0RgjEkSbeuStKfT2Pa4Zai,72,"conscious hip hop, hip hop, rap, west coast rap",0.846,0.779,0.748,91.118,0.0534,0.0,0.299,-5.363,0.254,7,1,4
That’s So True,Gracie Abrams,7ne4VBA60CxGM75vw0EYad,94,alt z,0.554,0.808,0.372,108.548,0.214,0.0,0.159,-4.169,0.0368,1,1,4
Who,Jimin,7tI8dRuH2Yc6RuoTjxo4dU,92,k-pop,0.66,0.756,0.838,116.034,0.00289,0.0,0.193,-3.743,0.032,0,0,4
"dodger blue (feat. wallie the sensei, roddy ricch, siete7x)",Kendrick Lamar,4K1Pg0FLno1ltzX3jeqT83,70,"conscious hip hop, hip hop, rap, west coast rap",0.796,0.536,0.662,83.492,0.0552,0.0,0.112,-7.93,0.109,6,1,4
heart pt. 6,Kendrick Lamar,1SGvjfc85yzqKXsfKcCxn2,70,"conscious hip hop, hip hop, rap, west coast rap",0.704,0.647,0.585,80.998,0.27,0.0,0.109,-7.664,0.325,9,1,4
peekaboo (feat. azchike),Kendrick Lamar,2Uts1QFB4u2YNIMiqcb4de,70,"conscious hip hop, hip hop, rap, west coast rap",0.889,0.298,0.314,100.042,0.00306,1.26e-05,0.173,-9.086,0.182,1,1,4
All I Want for Christmas Is You,Mariah Carey,0bYg9bo50gSsH3LtXe2SQn,88,"dance pop, pop, urban contemporary",0.336,0.627,0.35,150.273,0.164,0.0,0.0708,-7.463,0.0384,7,1,4
